step,variable,mae,n
12,bilirubin_total,0.13141320386638375,276
12,magnesium,0.03437854514857626,1021
13,heart_rate,5.545209312435164,2408
13,arterial_bp_mean,5.343161422917107,1097
13,respiratory_rate,9.308094386968628,2408
13,spo2,1.093874562447878,2408
13,temperature_f,0.34159793054054927,2382
13,gcs_total,0.4173392233611846,2405
13,lactate,0.5817166829574362,200
13,creatinine,0.10839270441261344,1048
13,bun,1.4557840486678237,1047
13,wbc,0.7841493602293332,961
13,hemoglobin,0.1802586439445852,966
13,bicarbonate,0.31725577642748254,1034
13,glucose_lab,6.786613329735833,1028
13,potassium,0.0524493082797679,1072
13,sodium,0.5593430468664411,1078
13,anion_gap,0.23420285100916238,1034
13,albumin,0.061118763033607,147
13,platelets,5.631229897363909,967
13,bilirubin_total,0.13536203234843683,276
13,magnesium,0.03448959799586549,1021
14,heart_rate,5.545392187995948,2408
14,arterial_bp_mean,5.275362559845463,1097
14,respiratory_rate,9.4760642114408,2408
14,spo2,1.3957018560636147,2408
14,temperature_f,0.3400089685548184,2382
14,gcs_total,0.421006060435935,2405
14,lactate,0.5765067118469731,200
14,creatinine,0.10864329435580496,1048
14,bun,1.4712240923136621,1047
14,wbc,0.7824448991146321,961
14,hemoglobin,0.1792425782268807,966
14,bicarbonate,0.32068713949006167,1034
14,glucose_lab,6.697261963464437,1028
14,potassium,0.05272166104965007,1072
14,sodium,0.5633249722150141,1078
14,anion_gap,0.2357535943035126,1034
14,albumin,0.06053743906508452,147
14,platelets,5.642725178014344,967
14,bilirubin_total,0.1298771291613996,276
14,magnesium,0.034661456781447324,1021
15,heart_rate,5.5106965661041905,2408
15,arterial_bp_mean,5.722667240791779,1097
15,respiratory_rate,9.683273420219832,2408
15,spo2,1.0833909267809583,2408
15,temperature_f,0.3625152911961697,2382
15,gcs_total,0.42085178616712765,2405
15,lactate,0.5755771644014331,200
15,creatinine,0.10777653378811701,1048
15,bun,1.472246646898902,1047
15,wbc,0.7819691647257282,961
15,hemoglobin,0.17957196175878218,966
15,bicarbonate,0.3152733411476131,1034
15,glucose_lab,6.685426967200111,1028
15,potassium,0.05312404419342306,1072
15,sodium,0.5618377449450023,1078
15,anion_gap,0.23435036019738062,1034
15,albumin,0.060618135583771764,147
15,platelets,5.643784472808685,967
15,bilirubin_total,0.12919334657185305,276
15,magnesium,0.03456707292605971,1021
16,heart_rate,5.575298776066034,2408
16,arterial_bp_mean,5.855295810651047,1097
16,respiratory_rate,8.165427623850372,2408
16,spo2,1.0651063994265741,2408
16,temperature_f,0.39138481886842874,2382
16,gcs_total,0.4222748393969654,2405
16,lactate,0.5823211007929444,200
16,creatinine,0.10797016178209978,1048
16,bun,1.4624704731378937,1047
16,wbc,0.7853015849988843,961
16,hemoglobin,0.1792514773939965,966
16,bicarbonate,0.3217641134373184,1034
16,glucose_lab,6.684112001169618,1028
16,potassium,0.05313017286786439,1072
16,sodium,0.5639403988041011,1078
16,anion_gap,0.23515789211313082,1034
16,albumin,0.061629336774066186,147
16,platelets,5.633316727474892,967
16,bilirubin_total,0.1320598455221431,276
16,magnesium,0.035082922831233355,1021
17,heart_rate,5.509062726384797,2408
17,arterial_bp_mean,5.304403440709021,1097
17,respiratory_rate,8.30428391939944,2408
17,spo2,1.1012916869318627,2408
17,temperature_f,0.396977927842681,2382
17,gcs_total,0.4160316436331981,2405
17,lactate,0.5813799676079437,200
17,creatinine,0.1089731752723722,1048
17,bun,1.457892853677211,1047
17,wbc,0.7804077988854614,961
17,hemoglobin,0.17853445621800912,966
17,bicarbonate,0.31716179042190573,1034
17,glucose_lab,6.649378112827817,1028
17,potassium,0.053519992457661994,1072
17,sodium,0.5638097985226934,1078
17,anion_gap,0.23512210270614453,1034
17,albumin,0.061424635539701504,147
17,platelets,5.619201052109739,967
17,bilirubin_total,0.12746047241129893,276
17,magnesium,0.035332640503047213,1021
18,heart_rate,5.489923766003002,2408
18,arterial_bp_mean,5.2721949792889005,1097
18,respiratory_rate,8.861782145841596,2408
18,spo2,1.0409297512991142,2408
18,temperature_f,0.36365302524133397,2382
18,gcs_total,0.4177818599595573,2405
18,lactate,0.5754317220693381,200
18,creatinine,0.10914022518534781,1048
18,bun,1.459543332729984,1047
18,wbc,0.7835482274536835,961
18,hemoglobin,0.17812885553437274,966
18,bicarbonate,0.3210408098752481,1034
18,glucose_lab,6.640492880251654,1028
18,potassium,0.05362736112866969,1072
18,sodium,0.572529813317525,1078
